YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED
2023,5,31,3,5/31/2023 0:00,AA,N957NN,13930,1393008,30977,ORD,"Chicago, IL",IL,Illinois,13487,1348702,31650,MSP,"Minneapolis, MN",MN,Minnesota,1959,1956,-3,0,0,23,2019,2116,6,2139,2122,-17,0,0,0
2023,5,29,1,5/29/2023 0:00,UA,N445UA,14492,1449202,34492,RDU,"Raleigh/Durham, NC",NC,North Carolina,12264,1226402,30852,IAD,"Washington, DC",VA,Virginia,1946,1931,-15,0,0,16,1947,2025,8,2056,2033,-23,0,0,0
2023,5,11,4,5/11/2023 0:00,MQ,N230NN,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,15323,1532305,35323,TRI,"Bristol/Johnson City/Kingsport, TN",TN,Tennessee,1419,1428,9,9,0,17,1445,1752,5,1737,1757,20,20,1,0
2023,5,14,7,5/14/2023 0:00,AA,N818AW,13342,1334207,33342,MKE,"Milwaukee, WI",WI,Wisconsin,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,Arizona,1104,1138,34,34,1,10,1148,1309,5,1254,1314,20,20,1,0
2023,5,15,1,5/15/2023 0:00,AA,N971AN,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,11618,1161802,31703,EWR,"Newark, NJ",NJ,New Jersey,1715,1724,9,9,0,37,1801,2153,8,2142,2201,19,19,1,0
2023,5,18,4,5/18/2023 0:00,B6,N980JT,12892,1289208,32575,LAX,"Los Angeles, CA",CA,California,12478,1247805,31703,JFK,"New York, NY",NY,New York,1635,1624,-11,0,0,13,1637,34,7,105,41,-24,0,0,0
2023,5,9,2,5/9/2023 0:00,DL,N102DU,12953,1295304,31703,LGA,"New York, NY",NY,New York,12266,1226603,31453,IAH,"Houston, TX",TX,Texas,705,,,,,,,,,1005,,,,,1
2023,5,24,3,5/24/2023 0:00,AA,N536UW,13930,1393008,30977,ORD,"Chicago, IL",IL,Illinois,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,700,658,-2,0,0,14,712,919,15,932,934,2,2,0,0
2023,5,6,6,5/6/2023 0:00,B6,N284JB,10397,1039707,30397,ATL,"Atlanta, GA",GA,Georgia,10721,1072102,30721,BOS,"Boston, MA",MA,Massachusetts,1024,1020,-4,0,0,17,1037,1247,5,1303,1252,-11,0,0,0
2023,5,16,2,5/16/2023 0:00,OH,N546FF,11617,1161708,31617,EWN,"New Bern/Morehead/Beaufort, NC",NC,North Carolina,11057,1105703,31057,CLT,"Charlotte, NC",NC,North Carolina,1234,1236,2,2,0,12,1248,1345,5,1357,1350,-7,0,0,0
2023,5,28,7,5/28/2023 0:00,G4,271NV,11721,1172105,31721,FNT,"Flint, MI",MI,Michigan,10693,1069302,30693,BNA,"Nashville, TN",TN,Tennessee,1553,1542,-11,0,0,7,1549,1604,4,1633,1608,-25,0,0,0
