YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE
2023,2,5,7,2/5/2023 0:00,AA,19805,N852NN,1455,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,13495,1349505,33495,MSY,"New Orleans, LA",LA,Louisiana,2052,2117,25,25,1,2000-2059,21,2138,2237,5,2216,2242,26,26,1,0,84,85,59,1,447
2023,2,5,7,2/5/2023 0:00,9E,20363,N908XJ,4923,12478,1247805,31703,JFK,"New York, NY",NY,New York,14492,1449202,34492,RDU,"Raleigh/Durham, NC",NC,North Carolina,1745,1742,-3,0,0,1700-1759,25,1807,1925,5,1934,1930,-4,0,0,0,109,108,78,1,427
2023,2,7,2,2/7/2023 0:00,AA,19805,N841NN,1089,13871,1387102,33316,OMA,"Omaha, NE",NE,Nebraska,11057,1105703,31057,CLT,"Charlotte, NC",NC,North Carolina,630,628,-2,0,0,0600-0659,28,656,944,11,1002,955,-7,0,0,0,152,147,108,1,913
2023,2,6,1,2/6/2023 0:00,AS,19930,N307AS,1307,13891,1389101,32575,ONT,"Ontario, CA",CA,California,14057,1405702,34057,PDX,"Portland, OR",OR,Oregon,1940,1935,-5,0,0,1900-1959,24,1959,2203,7,2200,2210,10,10,0,0,140,155,124,1,838
2023,2,3,5,2/3/2023 0:00,DL,19790,N825DN,2205,10397,1039707,30397,ATL,"Atlanta, GA",GA,Georgia,10994,1099402,30994,CHS,"Charleston, SC",SC,South Carolina,2259,2256,-3,0,0,2200-2259,18,2314,2358,5,9,3,-6,0,0,0,70,67,44,1,259
2023,2,5,7,2/5/2023 0:00,AA,19805,N949NN,1751,11638,1163807,31638,FAT,"Fresno, CA",CA,California,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,Arizona,1240,1231,-9,0,0,1200-1259,9,1240,1453,4,1521,1457,-24,0,0,0,101,86,73,1,493
2023,2,2,4,2/2/2023 0:00,WN,19393,N498WN,1563,11259,1125904,30194,DAL,"Dallas, TX",TX,Texas,13495,1349505,33495,MSY,"New Orleans, LA",LA,Louisiana,1110,1131,21,21,1,1100-1159,24,1155,1253,2,1235,1255,20,20,1,0,85,84,58,1,436
2023,2,6,1,2/6/2023 0:00,HA,19690,N476HA,334,12982,1298202,32982,LIH,"Lihue, HI",HI,Hawaii,12173,1217305,32134,HNL,"Honolulu, HI",HI,Hawaii,1630,1641,11,11,0,1600-1659,6,1647,1710,9,1706,1719,13,13,0,0,36,38,23,1,102
2023,2,5,7,2/5/2023 0:00,B6,20409,N807JB,118,13487,1348702,31650,MSP,"Minneapolis, MN",MN,Minnesota,12478,1247805,31703,JFK,"New York, NY",NY,New York,1045,1028,-17,0,0,1000-1059,9,1037,1353,6,1429,1359,-30,0,0,0,164,151,136,1,1029
2023,2,3,5,2/3/2023 0:00,OO,20304,N715SK,4977,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,Arizona,12896,1289607,32896,LBB,"Lubbock, TX",TX,Texas,2006,2006,0,0,0,2000-2059,21,2027,2241,8,2248,2249,1,1,0,0,102,103,74,1,588
