YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_NM,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_NM,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,CANCELLED
2023,6,6,2,6/6/2023 0:00,MQ,N229NN,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,10685,1068503,30685,BMI,"Bloomington/Normal, IL",IL,Illinois,1324,1321,-3,0,0,11,1332,1509,3,1523,1512,-11,0,0,0
2023,6,30,5,6/30/2023 0:00,OO,N716SK,14960,1496002,34960,SPS,"Wichita Falls, TX",TX,Texas,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,1432,1426,-6,0,0,19,1445,1509,10,1533,1519,-14,0,0,0
2023,6,15,4,6/15/2023 0:00,NK,N660NK,13495,1349505,33495,MSY,"New Orleans, LA",LA,Louisiana,11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL,Florida,1325,1332,7,7,0,10,1342,1609,7,1620,1616,-4,0,0,0
2023,6,9,5,6/9/2023 0:00,MQ,N218NN,11067,1106703,31067,CMI,"Champaign/Urbana, IL",IL,Illinois,11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,Texas,1553,1545,-8,0,0,10,1555,1735,18,1807,1753,-14,0,0,0
2023,6,22,4,6/22/2023 0:00,B6,N946JL,12892,1289208,32575,LAX,"Los Angeles, CA",CA,California,10721,1072102,30721,BOS,"Boston, MA",MA,Massachusetts,2059,2105,6,6,0,17,2122,523,7,535,530,-5,0,0,0
2023,6,19,1,6/19/2023 0:00,AA,N989AN,14307,1430706,30721,PVD,"Providence, RI",RI,Rhode Island,11057,1105703,31057,CLT,"Charlotte, NC",NC,North Carolina,1729,1737,8,8,0,12,1749,1946,8,1940,1954,14,14,0,0
2023,6,30,5,6/30/2023 0:00,WN,N8714Q,13232,1323202,30977,MDW,"Chicago, IL",IL,Illinois,14107,1410702,30466,PHX,"Phoenix, AZ",AZ,Arizona,1855,1950,55,55,1,15,2005,2120,7,2030,2127,57,57,1,0
2023,6,4,7,6/4/2023 0:00,AA,N827NN,11057,1105703,31057,CLT,"Charlotte, NC",NC,North Carolina,15016,1501606,31123,STL,"St. Louis, MO",MO,Missouri,1641,1642,1,1,0,13,1655,1718,7,1736,1725,-11,0,0,0
2023,6,4,7,6/4/2023 0:00,DL,N931DQ,10397,1039707,30397,ATL,"Atlanta, GA",GA,Georgia,11481,1148102,31481,ECP,"Panama City, FL",FL,Florida,1306,1427,81,81,1,13,1440,1420,3,1307,1423,76,76,1,0
2023,6,29,4,6/29/2023 0:00,9E,N913XJ,10397,1039707,30397,ATL,"Atlanta, GA",GA,Georgia,14814,1481403,30476,SHV,"Shreveport, LA",LA,Louisiana,1559,1557,-2,0,0,26,1623,1641,5,1651,1646,-5,0,0,0
2023,6,30,5,6/30/2023 0:00,OO,N962SW,13184,1318403,33184,MBS,"Saginaw/Bay City/Midland, MI",MI,Michigan,13930,1393008,30977,ORD,"Chicago, IL",IL,Illinois,1150,1310,80,80,1,14,1324,1307,10,1205,1317,72,72,1,0
2023,6,16,5,6/16/2023 0:00,OO,N719SK,12892,1289208,32575,LAX,"Los Angeles, CA",CA,California,10372,1037205,30372,ASE,"Aspen, CO",CO,Colorado,1225,1223,-2,0,0,16,1239,1522,3,1532,1525,-7,0,0,0
2023,6,28,3,6/28/2023 0:00,WN,N235WN,13851,1385103,33851,OKC,"Oklahoma City, OK",OK,Oklahoma,11292,1129202,30325,DEN,"Denver, CO",CO,Colorado,1425,1448,23,23,1,9,1457,1513,7,1500,1520,20,20,1,0
2023,6,16,5,6/16/2023 0:00,F9,N721FR,11292,1129202,30325,DEN,"Denver, CO",CO,Colorado,14679,1467903,33570,SAN,"San Diego, CA",CA,California,2124,2253,89,89,1,12,2305,4,4,2249,8,79,79,1,0
2023,6,6,2,6/6/2023 0:00,F9,N331FR,12266,1226603,31453,IAH,"Houston, TX",TX,Texas,12889,1288904,32211,LAS,"Las Vegas, NV",NV,Nevada,1948,2010,22,22,1,64,2114,2200,8,2104,2208,64,64,1,0
2023,6,15,4,6/15/2023 0:00,UA,N68880,14843,1484306,34819,SJU,"San Juan, PR",PR,Puerto Rico,11618,1161802,31703,EWR,"Newark, NJ",NJ,New Jersey,105,416,191,191,1,12,428,800,21,515,821,186,186,1,0
